round_id,scene_id,qx,qy,qz,qw,x,y,z,width,score,label,integration_time,planning_time
0,2331bde7b5cd4c0cb36ee0050fd61b49,-0.835598871362477,-0.5486988533701971,0.02008583776974659,0.01733936587862465,0.11250000000000002,0.20250000000000004,0.18000000000000005,0.05563576340675355,0.99704546,1,0.025547504425048828,6.510042905807495
0,994fd22d6e12429d935775813dd7abeb,-0.9818202686082137,0.18506881279642742,0.010345539833342231,-0.04088354786185841,0.037500000000000006,0.21000000000000005,0.12000000000000002,0.03882115602493287,0.9714257,1,0.026076316833496094,0.013597965240478516
0,bc4c5f9328414badb37214a408405203,-0.823714813922966,-0.5664082911318551,0.02557221679622798,0.0046491707940088355,0.22500000000000003,0.20250000000000004,0.11250000000000002,0.05602578878402711,0.9701165,1,0.02807307243347168,0.013672113418579102
0,f645671d00104454bc4d569d913a7b85,-0.9557187308528293,-0.2922224806658641,0.03130279967709482,-0.015095165547996928,0.10500000000000002,0.14250000000000002,0.12750000000000003,0.053853349685668954,0.9656364,1,0.025667428970336914,0.01344752311706543
0,1d0696aa81174486987ef0bd47b50c39,-0.9570321183720216,-0.28964651657148766,0.0022239820888308743,-0.013764946277854274,0.18000000000000005,0.09000000000000002,0.11250000000000002,0.06232721328735353,0.9875853,1,0.026102781295776367,0.013410329818725586
1,326514e2b2dc42cfb565e5f8e4bdd9ca,-0.9526033753741997,0.3020600897255471,-0.03535341008426881,0.007526474346570272,0.04500000000000001,0.20250000000000004,0.12750000000000003,0.05448072195053102,0.97638756,1,0.02532792091369629,0.013934850692749023
1,23e3bd857a144c299a5b9ac78114c693,-0.9973532516589668,-0.06228237201377685,-0.03732966020721779,-0.003727467026931147,0.13500000000000004,0.24000000000000005,0.18000000000000005,0.06355422735214235,0.9946118,1,0.027101993560791016,0.013595342636108398
1,9e292563ea6f415085de5cab41350f3f,-0.8380667315104022,-0.540923817572274,-0.037835950756151676,0.060116702744634806,0.09750000000000002,0.05250000000000001,0.12750000000000003,0.0579305934906006,0.9515122,1,0.026601076126098633,0.013803720474243164
1,bda8679296c5464cb15715e1f182559c,-0.9399229372458909,0.3412669846097216,-0.008913214963676157,0.001507266882952354,0.19500000000000003,0.15000000000000002,0.12750000000000003,0.05984840512275697,0.9714364,1,0.036794185638427734,0.023509502410888672
1,eb93ba680f16404b8b05052b50626786,-0.9993378151759077,-0.025340764429629188,-0.016911102844314047,0.0198945072357778,0.06000000000000001,0.14250000000000002,0.12750000000000003,0.0669583296775818,0.99315816,1,0.04248166084289551,0.017713069915771484
2,07a742c68dbb4f05b858a1fb7889ce04,-0.961610555323453,0.2661162613922012,-0.06688205895545192,0.003750400383619145,0.12750000000000003,0.15750000000000003,0.12750000000000003,0.04969734549522401,0.910685,1,0.03644847869873047,0.014081239700317383
2,8dd946e389264ca8be382a3517c1743f,-0.8010986647184266,-0.5974021258538215,0.02136707013969342,0.02991784961079494,0.17250000000000004,0.13500000000000004,0.11250000000000002,0.06354759693145753,0.9632885,1,0.029397964477539062,0.013642311096191406
2,5a38ff14b6c54611b8c0e337ddfaa3ce,-0.8902671320302215,-0.45526877027445195,0.00550967304492512,-0.011154548059448757,0.14250000000000002,0.24000000000000005,0.11250000000000002,0.06778725385665894,0.95505494,1,0.027045249938964844,0.01357889175415039
2,8718b8983d254c79849678170b3d7e4f,-0.9289462178521184,0.3686544679770335,0.033112165328879735,-0.007509466428970926,0.05250000000000001,0.07500000000000001,0.12000000000000002,0.05197655797004701,0.98296064,1,0.026711702346801758,0.013773918151855469
2,a864a4e38e00487fb97c57a78cbb3885,-0.9001901873669363,-0.4345475795008218,-0.012280884373295956,-0.025984757017657272,0.04500000000000001,0.18000000000000005,0.11250000000000002,0.05165913105010987,0.96488464,0,0.02532172203063965,0.014159440994262695
2,afdbe0f2de184643b229b33531454033,-0.8008343976709796,-0.5985593648742777,0.00402772835806438,0.019357986272697747,0.08250000000000002,0.13500000000000004,0.11250000000000002,0.06795016765594483,0.9391837,1,0.027105331420898438,0.014524459838867188
3,c1790936d97f4d7f95275496aea2d7bb,-0.8348265914860804,-0.5489528197944842,0.041405141495227504,0.0009889616664797442,0.16500000000000004,0.08250000000000002,0.12750000000000003,0.057397377490997326,0.96484363,0,0.026000261306762695,0.014003515243530273
3,0e2d4614665648698345b5d2e3e35791,-0.9775544721362859,-0.20691140665707503,0.008148147988278514,-0.03883981830414536,0.17250000000000004,0.18000000000000005,0.12750000000000003,0.053436012268066414,0.9564716,1,0.02643561363220215,0.01379537582397461
3,3c8e5910b3a345539a67d1aeb9b93dc5,-0.8673069693821216,-0.4957263295554777,0.03288270987787755,-0.030866720553711455,0.06750000000000002,0.14250000000000002,0.12750000000000003,0.054226588010787974,0.95041966,1,0.025255441665649414,0.015154600143432617
3,0bcb27ae14a64613a15c98b8d609d61d,-0.998376824978265,0.009873106522821133,-0.04125799769359545,-0.038000193949810517,0.15750000000000003,0.15000000000000002,0.12750000000000003,0.03965222597122193,0.98601305,0,0.03341507911682129,0.01777815818786621
3,4f336ea46a7f429fa33e6cb8e9a7868a,-0.9953030576032609,0.07957171831187143,-0.05510869748586757,0.0017879127236243597,0.20250000000000004,0.20250000000000004,0.11250000000000002,0.06042606353759767,0.9407851,0,0.043343544006347656,0.017719030380249023
4,959a055d8f1341889df4e2f19b35ea24,-0.9984575828055352,0.042540210046003,0.031939513092000625,0.015895073790821408,0.15000000000000002,0.04500000000000001,0.11250000000000002,0.052200865745544445,0.9357188,1,0.03797030448913574,0.013647317886352539
4,86a58e5f511e4c83ace384286bc91f5e,-0.9893600836036824,0.08086267773196493,-0.08254615875177157,0.08839674200477204,0.04500000000000001,0.05250000000000001,0.12750000000000003,0.04705742597579957,0.986763,1,0.029473304748535156,0.017482995986938477
4,d7eb4014ecac41f4876dcebc51f629d7,-0.92902618483146,-0.31532877628152833,-0.1928037997667822,0.017458680986439323,0.04500000000000001,0.16500000000000004,0.11250000000000002,0.05827546477317811,0.96391183,0,0.026314496994018555,0.013709545135498047
4,4eb5997973d341b9827efd189771b7da,-0.8288977738072957,-0.55447876425825,-0.07391473647256475,0.0042886240386496854,0.06750000000000002,0.17250000000000004,0.12000000000000002,0.0512537169456482,0.9796742,1,0.026831388473510742,0.013482809066772461
4,0685096f4262440eb732c77d50d8d2ba,-0.9367037176165193,0.23806793379458302,-0.24404420825144763,-0.07970087026560059,0.14250000000000002,0.24750000000000005,0.12000000000000002,0.05349553585052491,0.96246266,1,0.026338815689086914,0.013550758361816406
4,f54240d16c804f04b51710c89ab815b2,-0.952695697539591,0.28710559908438993,-0.09689569776311459,-0.023505459343411573,0.15750000000000003,0.15000000000000002,0.12750000000000003,0.046804440021514904,0.9881013,1,0.02503037452697754,0.016228675842285156
5,e20e875842fb42318d4b4a6942168d77,-0.9824265752385408,0.1593347528343941,-0.07636701531080545,-0.06015429973653974,0.12750000000000003,0.25500000000000006,0.12750000000000003,0.04897864222526551,0.9402978,1,0.025680065155029297,0.013654232025146484
