scene_id,qx,qy,qz,qw,x,y,z,width,label
6535573e15e14430940a9439178e250d,0.5322164446261842,-0.7896544582902922,0.16142737312863684,0.25909977957635744,0.11296649306810752,0.1887674765382012,0.13219558096454218,0.050236312854921666,1
6535573e15e14430940a9439178e250d,0.30885929252050315,-0.9509761037580382,-0.007400626804915536,-0.013986358632954379,0.2410396077481677,0.2010330620479402,0.1472651461967916,0.046397003224072655,1
6535573e15e14430940a9439178e250d,-0.01070454952784978,-0.9294808539281764,0.36771890171467103,0.027084388900433454,0.17662721851358007,0.19567515418893827,0.0999907485335754,0.08,0
6535573e15e14430940a9439178e250d,0.7093574071517409,-0.3151615962507442,-0.6302923193847904,0.014725124521834504,0.27293567311762584,0.1928065684327356,0.1086711610712246,0.05823808085796104,1
6535573e15e14430940a9439178e250d,0.2469691711462295,-0.8774074775078635,-0.02949431906324027,0.4102346061214585,0.16109129800846053,0.16698544717799735,0.1339035427697525,0.020796679627663583,1
6535573e15e14430940a9439178e250d,0.6742014680437136,-0.5843978088935642,-0.10878923022563024,-0.4382881299271265,0.09385318022086428,0.14299895328910844,0.12728017447840353,0.041206590759128164,1
6535573e15e14430940a9439178e250d,0.5527538413524342,-0.7976283603852601,0.12293855609903948,0.20769761915711304,0.11798852654490305,0.18048371951954006,0.12761470364517571,0.04897087300621926,1
6535573e15e14430940a9439178e250d,0.01408877200846674,-0.9856964859889012,-0.11716503547711987,0.12031749030822933,0.15062327205394874,0.10434309389900208,0.07553545856037165,0.08,0
6535573e15e14430940a9439178e250d,-0.14893251962761292,-0.7744631676598779,0.5715903887566685,0.22651784480830514,0.2472219315393195,0.13951105771197686,0.08823132734021619,0.08,0
6535573e15e14430940a9439178e250d,0.2647864054005181,-0.9191812086094538,0.21762189014880665,0.1939968509600012,0.10122090204978562,0.186604146668142,0.1274995284755932,0.023869734714029846,1
6535573e15e14430940a9439178e250d,0.07259917428366333,0.6857948510122263,0.7209868632487091,0.06776964837769217,0.16379488978121046,0.16907514873411794,0.08314342733312284,0.08,0
